tournament,date,home_team,away_team,market,line,over_odds,under_odds,book,is_closing,source_url
FIFA World Cup,2022-11-28,cameroon,serbia,match_total,4.5,7.9,1.11,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,cameroon,serbia,match_total,5.5,18.5,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,south_korea,ghana,match_total,0.5,1.11,7.6,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,south_korea,ghana,match_total,1.5,1.5,2.75,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,south_korea,ghana,match_total,2.5,2.59,1.57,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,south_korea,ghana,match_total,3.5,5.1,1.21,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,south_korea,ghana,match_total,4.5,12.0,1.07,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,south_korea,ghana,match_total,5.5,30.0,1.02,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,brazil,switzerland,match_total,0.5,1.07,10.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,brazil,switzerland,match_total,1.5,1.36,3.4,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,brazil,switzerland,match_total,2.5,2.1,1.87,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,brazil,switzerland,match_total,3.5,3.95,1.3,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,brazil,switzerland,match_total,4.5,8.7,1.11,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,brazil,switzerland,match_total,5.5,21.0,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,portugal,uruguay,match_total,0.5,1.1,9.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,portugal,uruguay,match_total,1.5,1.45,3.05,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,portugal,uruguay,match_total,2.5,2.31,1.68,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,portugal,uruguay,match_total,3.5,4.5,1.24,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,portugal,uruguay,match_total,4.5,9.8,1.09,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,portugal,uruguay,match_total,5.5,27.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,netherlands,qatar,match_total,0.5,1.03,24.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,netherlands,qatar,match_total,1.5,1.16,6.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,netherlands,qatar,match_total,2.5,1.5,2.75,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
